Time [s],Temp [C],RH [%],h_t_w,h_m_w
810000.0,265.34999999999997,0.87,11.297,3.1965616e-08
813600.0,265.65,0.87,11.726,3.4813741e-08
817200.0,266.75,0.87,11.264,3.1765016e-08
820800.0,268.54999999999995,0.83,12.92,4.294974e-08
824400.0,267.84999999999997,0.82,14.36,5.2869478e-08
828000.0,269.15,0.79,11.363,3.2641644e-08
831600.0,269.34999999999997,0.8,11.528,3.3881289e-08
835200.0,268.75,0.8,12.12,3.7893201e-08
838800.0,267.95,0.83,12.76,4.2132548e-08
842400.0,267.54999999999995,0.86,11.33,3.2429906e-08
846000.0,267.15,0.87,11.726,3.5046479e-08
849600.0,268.04999999999995,0.86,11.858,3.5888338e-08
853200.0,273.84999999999997,0.59,11.759,3.5320962e-08
856800.0,272.95,0.56,12.617,4.179946e-08
860400.0,272.15,0.54,12.056,3.7865231e-08
864000.0,271.65,0.5,11.858,3.6429423e-08
867600.0,271.15,0.44,13.013,4.4216684e-08
871200.0,270.34999999999997,0.45,12.914001,4.3479879e-08
874800.0,270.04999999999995,0.45,11.99,3.7127535e-08
878400.0,268.75,0.5,12.188,3.8432109e-08
882000.0,269.54999999999995,0.46,11.693,3.4951171e-08
885600.0,268.75,0.5,12.386,3.9710503e-08
889200.0,268.54999999999995,0.51,12.221,3.8504844e-08
892800.0,268.84999999999997,0.48,12.254,3.8703686e-08
896400.0,269.04999999999995,0.47,12.155,3.8072063e-08
900000.0,269.04999999999995,0.45,12.716,4.1874092e-08
903600.0,269.54999999999995,0.45,12.749,4.2096399e-08
907200.0,270.04999999999995,0.41,12.353,3.9487865e-08
910800.0,270.34999999999997,0.41,12.419,3.9992909e-08
914400.0,269.75,0.42,12.122,3.8020222e-08
918000.0,269.54999999999995,0.43,12.353,3.9511509e-08
921600.0,268.84999999999997,0.46,12.188,3.8374676e-08
925200.0,267.95,0.48,11.957,3.6739035e-08
928800.0,267.25,0.5,11.363,3.2651478e-08
932400.0,265.95,0.58,11.363,3.2582626e-08
936000.0,265.15,0.62,11.33,3.2234428e-08
939600.0,264.25,0.67,12.6,4.0611301e-08
943200.0,264.34999999999997,0.7,11.132,3.0753466e-08
946800.0,264.15,0.73,11.0,2.9886195e-08
950400.0,264.65,0.73,11.264,3.16202e-08
954000.0,264.84999999999997,0.75,11.33,3.210722e-08
957600.0,265.54999999999995,0.74,11.64,3.4188766e-08
961200.0,266.04999999999995,0.74,11.96,3.6394688e-08
964800.0,266.15,0.78,12.44,3.965437e-08
968400.0,266.04999999999995,0.85,11.96,3.6461032e-08
